avg,long_bar,mean
0.02,497,0.03369318181818182
0.02,779,0.031582484016091865
0.03,398,0.03503217503217503
0.02,568,0.03281241136763288
0.02,821,0.032610146862483314
0.03,435,0.03679463256300673
0.03,391,0.03937741763372016
0.03,365,0.03951248637142413
0.04,317,0.03834894613583138
0.03,355,0.0319932207157146
0.04,149,0.050333333333333334
0.02,565,0.03390625
0.03,465,0.037055787174905694
0.02,613,0.0315477436004743
0.02,765,0.03320987654320988
0.03,339,0.037463556851311954
0.03,302,0.030135135135135136
0.02,482,0.03721212121212122
0.03,373,0.038891465677179965
0.03,286,0.04626865671641791
0.02,591,0.03339217777559835
0.08,74,0.09748458031643874
0.22,432,0.2222222222222222
0.06,107,0.056843575418994416
0.14,72,0.12925409980603067
0.06,73,0.06965305226174791
0.33,404,0.31610738255033555
0.32,209,0.32891566265060246
0.06,90,0.06219768357790939
0.05,78,0.05323083349399139
0.18,49,0.11764014466546113
0.06,59,0.05909148027142498
0.14,73,0.06953125
0.13,60,0.11939799331103679
0.12,73,0.11602859057404512
0.04,84,0.05263900893114376
0.07,67,0.09144178226145439
0.13,65,0.06615259740259741
0.09,77,0.06750769230769231
